Neuron,x,y,z
M3L,43.504098484547,21.4279165444783,21.7093515922821
AVEL,75.9693226181914,18.75,28.4366043680115
AVER,75.1390567972275,12.75,27.8139050022886
OLQVL,61.5128220784858,20.0723707446654,27.4868359315534
AVG,154.422993408215,15.9528363458339,43.6363950762892
OLQDL,59.383903927464,20.4465522572444,14.5444164219399
AIYL,116.349139012905,20.1800065838015,38.714005586356
AVAR,72.648259334336,9,22.0020442555418
URXR,74.5080323121856,14.2736644381838,14.2428129210157
AVDL,92.9897719479501,21,34.0408986595174
AVL,85.5173795592755,14.25,34.4560315699994
RMDL,76.5920219839143,22.5,30.3047024651802
FLPL,101.70756306807,21,36.531696122409
VB1,139.277091466684,17.25,47.7402847054208
CEPVL,65.7962255916366,18.6435760079729,29.526209740875
AWBL,80.1657866357636,21.787577813248,27.380899492602
HMC,76.8185322762302,19.6427767248042,14.3923124901292
CEPVR,63.0297502129995,14.0610922162341,27.2709663439163
DB2,120.912902671734,15.438715195804,47.3490436171606
AQR,112.9935815078,8.49788616126712,32.3185675100869
SMDVL,77.245688401337,24.9663038268379,19.1140212187276
RMDVL,73.6673284003912,24.9202037006423,25.7823115444407
AVJL,88.099044956684,20.8709996721954,29.4408786438741
IL1DR,56.9786348574111,14.7717401475053,14.3873849295846
CEPDL,72.7597030622871,22.1137111251913,16.3198225443256
OLLL,57.2490038227343,21.91074566565,18.2162468936211
AIML,102.520117726391,19.4964520258043,44.2190250837004
IL1DL,54.5899777283725,21,15.359917687831
OLQVR,63.2560640971584,10.3705505198652,25.2717515182673
SMDDL,78.1281042162154,18.1796286211866,31.2409351587813
RMDVR,72.0251310429555,8.54127333544531,24.6624482797157
OLQDR,63.2370328679159,13.1956195752798,13.1715776522317
SMDDR,77.2304704655548,15.2090126068812,28.2307192538445
IL1VR,52.0432080704437,14.3082559658199,26.5993355126856
CEPDR,74.3123676437032,13.2541422700997,12.0472963143859
URYVL,55.6106717678902,20.9205802562016,25.5980637026638
AVDR,88.3335216186952,7.59751943020973,27.2751410561049
RMFL,83.5849095829148,15.4583385610749,38.1312189248579
ADEL,108.061801053291,20.5779414378015,36.5076156683126
RMDR,73.9616150399617,10.0613257823146,27.759413256258
RMFR,77.7337626891527,15.4614374453774,32.8274347852503
AIMR,87.5930441116851,13.5,38.6073606748186
RIVL,84.9889126626948,20.8485523898079,16.785531492003
AFDL,77.649250297957,19.0651946362738,26.9082952077849
DA1,177.743976203832,12.5362067740487,40.357722767953
AWBR,78.4257752210237,7.16279521169694,21.2314399917409
RMEL,63.0998608507575,22.7681900613024,22.6168799457491
I3,37.9846613090957,17.25,14.5296518668672
DB1,153.535688603389,12.9189668372041,45.1236505697999
M1,96.8727853855462,10.803391638124,13.3799207455276
ADAL,110.607443509914,20.7329717041793,34.9289830147866
AIBL,84.3582633847308,20.7649220944352,36.2269700223889
URYDR,59.0660376293991,11.3375353278564,15.6068866323051
