Neuron,x,y,z
ADAL,107.0645866,34.79369298,18.37000947
ADAR,114.5854288,5.489071683,17.98748209
ADEL,100.4400465,34.06920837,19.11707866
ADER,106.5467741,7.207469042,17.39259314
ADFL,70.4775128,32.44507551,14.25
ADFR,69.7010554,12.33929065,14.25
ADLL,75.75741855,29.96096197,12
ADLR,73.58334032,13.65897571,12
AFDL,68.33238786,31.95696675,16.19779864
AFDR,67.93643861,9.720145653,15
AIAL,73.57553283,23.00076788,18.75
AIAR,75.13625304,21.4218274,20.25
AIBL,71.62770819,29.0170103,18.67267366
AIBR,71.07346122,13.59719702,17.76422315
AIML,100.5263917,22.74151038,25.5
AIMR,86.51339333,11.83007704,22.1551962
AINL,83.1026772,35.89748897,14.25
AINR,83.51819059,9.51238896,14.25
AIYL,76.22626567,25.23766705,21.22631936
AIYR,73.3972994,19.31282136,20.9206883
AIZL,84.54276246,32.17771306,18.02124824
AIZR,84.8098031,9.577673838,16.89856442
ALA,63.36579137,19.27695353,7.5
AMSOL,19.69723547,32.44507551,16.5
AMSOR,20.06963989,8.228083426,16.96360448
AQR,109.6313772,6.381767605,19.20394739
AS1,133.7953103,23.63984409,24
ASEL,77.5143427,34.33091376,16.11955186
ASER,77.15504145,9.311779098,16.5
ASGL,77.54327015,31.20301874,15
ASGR,75.01420775,12.96430265,14.90058692
ASHL,73.74205689,34.08980706,17.7381525
ASHR,74.6225002,8.237456804,17.86588514
ASIL,83.910215,32.91084731,15
ASIR,77.93149677,12.96031904,12
ASJL,80.2495692,30.64007141,19.84117188
ASJR,80.21644415,10.02890756,20.27513321
ASKL,70.81095923,30.26496294,12.79048368
ASKR,69.18297877,14.49854959,12
AUAL,76.73917336,34.44205238,20.25973358
AUAR,77.01706245,6.650896671,20.05955115
AVAL,65.4433583,32.57338188,16.5
AVAR,65.58583368,11.71826227,15.75
AVBL,80.80438749,31.43590568,17.25
AVDL,83.13831693,34.73729928,17.2068304
AVDR,82.24634649,8.964775239,16.72770888
AVEL,66.27438507,29.45703149,18
AVER,66.89765515,14.2907929,16.5
AVFL,113.019641,23.84760078,24
AVFR,115.2790719,21.26656874,24.75
AVG,125.7682173,17.98042428,22.97375029
AVHL,76.60875396,33.50236776,12.84586923
AVHR,77.64595438,10.07842628,13.88769376
AVJL,80.04503817,33.72547816,13.84732465
AVJR,80.14440703,11.15273306,14.75164551
AVKL,78.89239345,20.60111865,23.55321106
AVKR,94.54783294,9.685836161,22.69129436
AVL,109.3164816,23.68371833,24.38719674
AWAL,74.21171499,30.67032481,16.93824416
AWAR,72.87017245,11.44044212,16.02075115
AWBL,73.93398388,32.76067809,14.00024178
AWBR,70.95417375,8.636571215,15.69434395
AWCL,70.11668017,32.93563729,19.324148
AWCR,71.16898745,7.821318578,18.67720054
BAGL,53.80898349,30.70357165,18
BAGR,56.41857054,12.3540689,18.0988914
CEPDL,62.6836956,29.40786879,10.91285792
CEPDR,64.2429609,12.78314413,10.5
CEPVL,54.09106443,24.76528848,20.84179703
CEPVR,54.40215472,16.4969224,20.49129304
DA1,137.5633831,22.35336894,23.25
DB1,135.5445946,21.73234055,24.75
DB2,105.2343552,22.38826025,25.67129074
DD1,150.0925262,21.12746224,23.36580027
FLPL,95.15542238,34.08049819,20.5040889
FLPR,95.10412029,6.915098332,17.99543138
I1L,15.58175198,24.67862755,18.75
I1R,15.62072053,17.50171505,19.0807804
I2L,29.01471803,27.08870699,21
I2R,30.23844071,13.12968463,19.55321788
I3,32.97449956,22.88038543,10.77688092
I4,85.92900341,23.51779534,9
I5,86.16194021,16.76411555,21.75
I6,89.31331726,27.47523013,11.09985115
IL1DL,46.11135534,26.39020218,11.15482016
IL1DR,47.60842453,16.72912463,11.32972393
IL1L,44.39291073,28.7420406,17.62157626
IL1R,47.60055406,13.66793861,16.60979249
IL1VL,43.65385793,24.97146904,21.23452446
IL1VR,50.59151025,22.49759489,21.32533315
IL2VL,21.31168846,29.23067121,23.78915028
IL2DR,39.76894617,13.78430606,12.34620808
IL2L,43.05561085,32.22375231,17.48763076
IL2R,46.92226813,11.23559814,17.88410248
IL2DL,39.93270881,29.12569937,12.72382173
IL2VR,43.76726207,13.93121611,20.46548049
M1,88.14137583,17.8860713,4.89519657
M2L,83.5219863,24.91510868,17.25
M2R,83.910215,15.98783059,14.25
M3L,38.43446201,25.30445752,18.82624566
M3R,38.72367699,16.68368266,17.75732441
M4,38.2545536,22.0428537,11.25
M5,100.0501854,30.56910325,11.76531088
MCL,30.33469394,24.91510868,19.5
MCR,29.17000784,17.30751565,18
MI,31.01380755,22.93524555,8.660802548
NSML,31.83456965,27.51857558,21.43255094
NSMR,31.68478139,15.60420165,17.97402921
OLLL,45.4721017,28.95300413,14.63866067
OLLR,46.91072378,13.52922703,14.71415534
OLQDL,50.52257178,26.00190888,9.75
OLQDR,50.76621394,16.50970396,10.19608999
OLQVL,52.35307779,27.72171328,19.12867344
OLQVR,53.61176568,14.96785952,18.56694776
RIAL,66.85687697,29.82363226,13.81021859
RIAR,66.73016486,13.56749334,13.6483507
RIBL,76.85589567,30.17228118,17.95257233
RIBR,78.94754334,12.00546928,17.25
RICR,87.07948476,9.45518225,18.44141462
RID,60.30592794,18.62720071,7.5
RIFL,112.0955974,19.8692554,23.25
RIFR,113.7261571,16.4536024,23.25
RIGL,127.9781229,23.43208739,23.25
RIGR,115.8612191,19.32247709,22.71089565
RIH,57.66597403,18.00617232,20.25
RIML,77.85385186,21.34419703,20.25
RIMR,92.2439717,10.13565904,24
RIPL,50.13434308,29.33993566,15.75
RIPR,51.6872558,14.74577382,15.75
RIR,76.37858405,16.37597411,18.75
RIS,109.0722638,18.86144015,23.25
RIVL,79.54434849,30.00606944,11.11875723
RIVR,80.84827313,11.90465909,10.24397556
RMDDL,69.60852938,25.02628047,19.3871094
RMDDR,77.05415456,13.48069138,20.70969787
RMDL,64.57643948,30.65961864,18
RMDR,67.93643861,10.13565904,18
RMDVL,62.80982968,32.62809109,15.96063501
RMDVR,63.54041523,9.693254832,16.07495955
RMED,53.16252569,20.80079901,6.75
RMEL,52.74990262,30.19836389,15.02854396
RMER,54.49202522,13.20869915,15.2783366
RMEV,62.40236126,22.66388209,21
RMFL,72.76587266,22.47672828,20.39074496
RMFR,69.27986107,19.88297954,19.44722267
RMGL,111.1638502,35.08444562,18.75
RMGR,119.0060649,6.129008888,17.25
RMHR,68.8469531,21.88759713,21
SAADL,66.89765515,23.43208739,19.5
SAADR,65.96845918,19.20583634,19.5
SAAVL,64.26824527,30.50929644,13.53857732
SAAVR,64.30350795,12.90544641,13.56752804
SABD,131.079641,18.7661709,23.59477394
SABVL,106.7869402,25.30189763,24.75
SABVR,102.216293,14.2907929,24
SIADL,59.96076286,28.57524596,21.11597747
SIADR,66.73534939,18.82239228,21
SIAVL,72.80851091,18.7854947,18.66027039
SIAVR,79.8511507,14.02558754,17.85599657
SIBDR,69.48976893,11.90350437,18.75
SIBVL,62.16942445,27.0110787,18.75
SIBVR,65.66348067,16.99700042,18
SMBDL,78.18494111,17.38366565,20.59398624
SMBDR,73.67967792,15.25628722,18.484481
SMBVL,81.88140026,17.95964313,21.75
SMBVR,83.41577824,11.90609668,22.24465101
SMDDL,69.93399221,28.09787889,20.25
SMDDR,70.0892841,16.37597411,18.75
SMDVL,67.97764305,31.98502557,12.870596
SMDVR,66.36875035,10.39127328,12.87817771
URADL,44.4809006,28.37869988,12.61375896
URADR,44.99392541,14.61489619,12.82289461
URAVL,50.14212474,26.64017928,20.37044991
URAVR,50.80989138,16.71035164,19.42336463
URBL,48.03790976,30.34910549,17.25
URBR,51.44236907,12.2163528,16.49209534
URXL,64.70091782,28.24386616,10.97319352
URXR,64.50705616,15.22635349,11.29856653
URYDL,47.88518452,28.22606691,12.7005383
URYDR,48.69700565,14.26604986,12.84108536
URYVL,48.23415881,27.929195,18.75
URYVR,50.33992939,13.78733214,18.00606718
VA1,128.1003595,20.57782423,23.62219613
VA2,162.6030717,24.09550134,25.30594892
VB1,123.1799202,24.01179456,23.37135699
VB2,106.5242183,19.36447687,24.60641663
VB3,170.9177591,24.95044092,25.26705765
VD1,117.9102711,23.62393707,22.67549434
VD2,137.9504442,19.48471022,23.25
,119.9788217,20.60634033,24.72711317
,106.1636701,15.95284644,23.25
,103.865156,26.70056555,24.75
