Neuron,x,y,z
AVEL,61.4513177579266,28.7086145205857,12.708416606635
AVDR,70.5048326862721,11.9330686840872,13.6027713230442
DD1,128.991486189413,27.1603221461753,21.1025828704099
AQR,88.0790964001643,11.5639383530825,21.0017975552726
AVDL,75.9354272149163,34.5459372054678,13.4330189251702
RIMR,74.1726376242741,18.4447214907963,19.5
RIML,90.3237111301781,34.85894878895,14.3173199665697
OLQVR,45.6261476628759,14.0821015629827,16.4242635035568
RMDDR,65.4464449625948,16.3670565713489,18
M3R,36.1214976557865,16.7609868643508,16.162084602934
RIGL,123.205529723234,26.9631476605309,21
OLQVL,47.4478597367258,27.5971963072208,15.1584200459199
M3L,34.9915761358204,25.366849326351,14.8767196050734
RMDVL,57.5513182686945,33.1961424188732,12.75
FLPL,82.8503820816888,33.8882516803931,14.0039778562297
CEPVR,49.0279032149738,16.932624151586,18.3234860460813
RIGR,132.052812905873,26.3633105195048,20.9668395384401
RMDDL,62.7400717723276,26.6133556062902,16.2865718387587
CEPVL,50.8467039032218,26.6131358563629,17.1462363562451
RMFR,65.6490605235589,23.5252442875437,18.8440460189849
DB1,137.749184159366,24.0544167733044,21
DA1,152.83535990822,23.38502487109,20.8365620325979
IL1VR,41.9928313874309,17.9119789441017,18.534992936977
OLQDL,45.78547695536,25.4737167450896,6.84976254352277
OLLR,41.2467213805061,12.7879927710048,11.6668970358026
IL1VL,40.6279817864236,26.0574005703468,16.6396516459254
AVG,125.038899460939,21.9017205246021,20.3565328466268
RMER,47.0267562600464,12.1232011045545,12.3716326762968
VB1,97.1630107841974,14.1082843037928,22.3347762660208
HMC,61.4121205080519,23.469226936634,6.41079744547254
AVJR,72.742840114469,11.5240114484248,11.3903525310089
IL1DR,42.2178686760498,15.7127874729703,8.39361463072307
OLQDR,46.0607152234616,15.0996860590675,6.81252390999886
DB2,113.648271093776,26.5476146766414,21.75
VD2,145.852077345211,23.8466502813597,20.25
CEPDL,57.2807044853367,26.9838174600248,6.75934323082407
SMDVL,57.6419660901218,29.3588380786095,10.1868288857878
ADER,76.3370240698139,13.173143426616,16.243658310587
ADEL,79.9436999220982,32.7791177020873,13.4081266038962
RMEL,48.0886361344972,28.8411911646015,11.5500329273938
