Neuron,x,y,z
AQR,94.8834077253751,6.75,30.312861111389
AVAR,64.8451517753588,7.39483919797389,24.0059045783715
URXR,65.1934136231242,12,15.1564305556945
AVDR,79.6128597566155,7.69370312842069,23.3806775353824
DB1,126.026758182282,13.5,38.8253769029434
AVAL,64.4028208821712,21.9332453101145,24.2501405687577
AVEL,65.7842711761895,19.40170284098,27.4437072475343
URXL,65.022443756939,16.3188385433916,16.1755627703009
OLQDR,53.6544938718813,10.7064970856484,17.0287606387921
DB2,102.980678844171,14.25,37.7872652210465
OLQVR,52.4486111586686,8.9049677173264,28.5086601102062
RMDDR,71.1442207066748,12.3232384391466,31.7597863370652
DD1,123.047603968223,14.1886057341989,37.0207565077053
DA1,129.040059048603,13.2885871641744,36.9187136442496
VB1,111.05470554072,15.7724143911807,37.6385011189724
M3R,38.7440764426257,9.73705738312885,26.6066587507606
RMDDL,70.8703955325476,17.3150165340375,32.1382718542602
IL1VR,50.8323904426572,11.1206748239808,30.9318663615585
FLPR,83.9711053534816,6.50649114611607,25.108084019119
RIGL,128.518226218834,16.5,37.7872652210465
IL1DR,49.4141160582916,10.5,18.6860102741439
CEPVR,63.450659521325,6.19482349285025,27.7334276455913
VD2,137.030742010388,12.75,38.2025098938053
CEPVL,58.0083164718421,17.3985780200701,31.5390337392139
SABD,128.676065939116,11.3806675639883,38.7070672046073
OLQDL,52.3318482871925,16.3701468468436,17.0966909230313
RIMR,75.7880167990286,11.5833185339863,34.1006519101158
IL1DL,48.8426349848917,15.6706956549687,18.3411499078812
AVKL,99.6587214621007,16.5,37.1643982119084
CEPDL,64.2555396995937,17.8346526767696,16.3996946812653
SMDDR,58.4520879624647,10.2172021352262,31.4254446890679
M3L,38.6971571591057,16.8129369683698,27.6228915692357
AVDL,75.9008424359561,21.5995544744072,23.5014277746193
OLQVL,51.43851543446,18.6519322485564,28.6597542810717
OLLR,48.7062338327045,8.94018033815426,21.9308898677429
AVKR,79.5193548333012,11.25,35.5034195208734
VB3,161.535901876496,14.5175225928059,41.0772546199915
AVJR,77.4431314695074,9,19.9317442924201
M1,87.4329138701393,13.1221968207674,14.4133652244116
VB2,99.8450097726208,15.1789608023879,39.4831534810033
RIML,67.1018537454524,15.9215221252046,29.9452609223059
RMFR,76.2731140630291,14.6799550914911,36.942653014689
IL1VL,49.4653673035832,14.9424987483167,30.806035276016
AIML,85.1424210533072,17.1178998795675,36.9543901768801
RMEL,53.2783768677575,21.4351870167381,23.1569070922251
AIMR,84.4713120073751,10.759303877816,36.041447427253
RIS,99.3971589308871,11.6396233722811,36.3370889437181
RMGL,104.957746577425,22.4364813247536,29.7306943514818
RIH,60.5452958687818,13.9354203021722,31.4841216293727
VA2,157.83350326628,13.9280895248163,41.0999748536291
SAAVR,62.6963960274429,9.6531312478637,20.6632529264355
RMFL,79.8923062920942,16.1565951494326,37.8209379241491
SMBDL,73.6491696172074,14.907084668162,33.8842430813685
AVL,88.9675286992815,11.7092173766214,37.4706775910744
ADER,87.0127430660081,4.98101246295651,24.706978253937
SAADR,65.4016639892828,13.6230931378542,31.7805863598084
ALA,65.2653934399312,15.0817610577503,13.109437322019
RMDVL,62.3446091535166,22.1924590462967,25.2820760849719
ADAR,95.1035117142667,5.14444698678955,28.0795267393863
