Neuron,x,y,z
AQR,100.566592120055,5.19710257773224,18.599786918351
DB1,131.587163742324,18.9067077431068,21.4289574160248
RIGL,106.57335380552,21.5101706767066,22.5461096878065
SMDDR,62.2779764732835,19.4990555771306,18.5211113616167
VB1,125.162572510299,17.2239272739162,23.25
AVDL,74.1012245210225,37.1503069770483,13.5
AVDR,76.9284529597132,7.43300268228959,14.8414719512002
RIML,62.6850694827698,29.0552152226509,18
RMDDR,63.294973913066,15.3976739172173,18.1143023650404
AVG,147.16461676584,17.8466266396391,22.5
OLQVR,43.9422470395156,17.3681525662996,17.5849725959584
RMDVL,50.8781301320981,35.8786520611556,15.3933776889331
AVAL,55.650091674233,35.4647821035523,14.8466331989598
CEPVL,47.7116549132122,30.0899428645543,20.2439942399846
URXR,55.9423795721781,17.8373593262259,10.7378562626432
CEPVR,47.1057514309432,18.7628142437843,19.5155020253404
DB2,125.636831045481,19.3902839976599,21.135365810273
VB3,161.716749360422,20.5308242117302,21.7143586131587
VD3,190.130873000719,23.658487386386,21.75
RIGR,131.645228805052,21.2327877762439,22.1465922899159
RMDDL,65.3349608058602,28.9061608728374,18.7141628635444
SMDDL,58.7922057165336,24.2142638927153,20.164782635446
IL1VL,36.4661978259939,28.4851866759581,20.3200228522897
IL1VR,31.3807997698432,19.7086051219253,20.7780024296712
AWBR,64.9783596347116,11.6792851515316,12.5740723732723
DA1,138.501123309418,18.9972324258977,20.5107652357899
RMDVR,53.8604560784603,10.9030809905603,14.9608456175097
OLQVL,42.3963639649216,30.171194411065,18.2040252717256
IL1DR,38.1444271516695,20.6755663126195,10.2534898018355
OLLL,36.7887353302813,32.7931481556307,13.593821675599
FLPR,81.7557815468733,7.41409831404856,14.7223396733277
ADER,89.7553790092517,6.70075518564045,14.4570492132484
DD1,143.220854116262,19.0920253710849,20.25
ADEL,101.430769706251,34.1120597118673,19.4683444128556
VB2,100.072801417451,18.3041697155636,23.6079047025396
VD1,121.834600109757,20.0402724872316,20.8481895458536
OLLR,35.412323098409,17.3392848606336,13.5213470397417
RMEL,44.6267878768063,32.9989778722291,15
URYVL,40.1541870394686,32.0842303616897,17.3337598116662
AVJR,71.8048285343202,10.3975657986568,13.8046978175296
RMFR,67.33988732222,17.6648646097819,18.779252096351
OLQDL,40.8035427843029,29.24503365289,8.94666712834002
AVKL,70.3650283266853,23.0357880206631,19.5
SABD,124.012737888473,14.9476401160211,20.375370276423
FLPL,91.5184943649756,35.4785109184496,19.1435618386599
ASGL,67.9567430325564,33.1814033422039,14.052426133365
AVJL,77.3110781716359,35.5638016271231,13.884706620019
