Neuron,x,y,z
RIMR,66.8363985875893,12.75,31.9652341071079
AVDR,75.0690967057127,10.1442160887367,22.0159256686731
AQR,91.7443732165046,6,35.4938638462043
DD1,124.332306689335,16.5,48.3629840711438
CEPDL,60.6858949274384,17.9705412798107,16.2190788579371
DB1,150.485680049696,12.75,49.4008163473486
RIS,102.767009489712,14.5533108980187,45.5141370994758
RIGL,128.814540584724,15.9034501768872,47.1854574984937
OLQVR,49.8931410623024,10.1810815709564,29.557784106397
AVG,138.354585000126,11.8720103020741,49.3026527756447
CEPVL,51.6840473549992,17.25,31.550101196626
RMDVL,58.3405110255889,23.4250647978822,26.4342674809741
M3R,36.6409695112616,11.4752464317018,26.9424747586317
AVEL,62.9162201183049,19.1887505633754,29.9910918363822
CEPVR,52.6820581798595,12.2897569343065,31.4966755625233
AVDL,75.9693226181916,21,33.2106328385537
OLQDR,49.4762224617362,11.5094576301918,17.9448019425422
RMDDL,68.2189549014487,14.5741841320902,35.8455588987388
OLQDL,49.4756640751911,17.9899685403155,17.2379330861752
OLQVL,47.7402847054209,19.5,29.6820030994574
IL1DR,46.0850043448709,12.1511193888481,18.180044874317
URXL,63.8146711279728,17.8189387534968,16.8594354026342
RMDR,64.5531675799388,9.75,31.3425347413851
RMDVR,61.651676558939,7.82516994495325,26.3451106587252
AVJR,77.5550568329435,12.2446279128112,17.8732006620389
VD3,190.546005911202,18,61.0245378408424
IL1DL,45.3302060449649,16.979274742998,17.9334742950268
IL1VR,41.0396067678556,11.9607021423342,30.8883570343257
DB2,131.604166377092,13.2307195172363,48.7180002514465
RMDL,63.8650606577954,19.8151048398263,32.5139514926701
AIML,101.915129523312,13.5,49.6083828025896
RMFL,70.099027707181,14.6104247033211,39.4318730955873
DB3,187.278459773779,15.9825523246157,60.1085321165627
VB3,157.980589128797,13.5524974678478,51.0008310913824
AWBR,68.2305116079553,9.85439088179633,20.9944876555961
ASGR,71.9836808147241,11.3797615276912,18.0137728116107
OLLR,44.6698994516793,9.83770680223682,22.4671879744446
IL1VL,42.1530957027759,15.6220087858615,30.8036253208064
M3L,35.6635654982324,19.3496717600693,25.6672438039346
AIMR,77.1825204323386,11.7273483608567,41.9270368336293
AVKL,110.21778773295,18,44.0040885110837
FLPR,89.4467564803253,7.94898445710993,37.3869126790417
DA1,142.565199935727,11.5559173258515,49.1525956061214
RMDDR,64.9430355264863,14.3588295728411,33.443049332749
URXR,63.0510556085733,12.9062579517997,15.8607680117874
URYVR,45.2253661053919,10.5582067434647,28.5391220261717
VD2,138.23925919048,15,46.4948859739752
ADEL,98.0720979244373,22.2178208873558,39.0987964441542
ADER,102.350544016365,8.17330234120279,35.0252093316806
SABD,134.043876492385,15.0239327731118,46.5845811039162
VA2,154.557751508382,12.3005554499854,50.652804826838
M1,87.670772671019,13.8281784431959,21.3802330111668
URYDR,47.6079438115788,10.168014782797,20.6396650657889
DA2,191.822392215359,15.7047417978566,61.7914478810832
SMDVR,61.6317213173405,9.46676257847799,20.9149783138792
VB1,113.336128145712,15.466084094706,47.7602967242437
RMER,50.6353349213724,9.45569027504516,24.4716560485828
SAAVR,61.4772048895373,9.98397126815142,23.8919664823955
AFDR,65.772471212832,9.43508089388907,24.9778495893729
AWBL,66.5049114458197,23.3253114359296,22.0320381640954
URYDL,46.7067342449746,19.8974503942815,18.8552973379234
SMDVL,62.0143131167226,22.681908739203,21.5750477966051
IL2VR,46.2516253475327,10.9184282791441,31.4172094848347
AIBL,68.4185791024135,18.0293234969948,31.0112717869859
SMBVR,73.6302476029636,13.6558168472982,39.453641483319
AVJL,74.0433766021975,22.3794213866365,28.7209639592142
RICR,80.024389823836,9.61063325673384,33.6598637347271
AS2,176.513964872131,14.7605137448549,56.1790509003528
RMEL,50.424330433862,23.2146342322087,25.7161292905087
SMDDR,69.5614772291609,12.7678960358437,31.6040198461918
RMEV,57.9887802990828,14.8529249505312,34.066341100273
OLLL,43.5217989934303,20.8721817709983,21.3758634554488
VA1,126.373334282303,14.623042898742,48.599233844769
ADAL,102.470296500715,21.5529395634361,38.0701696391795
AFDL,65.8603439734319,19.0897622710511,31.5155333100015
SMBDL,66.896417019404,17.098098226454,37.8595170027062
SIBVL,62.9843956828702,17.8472492514453,33.8785081578123
FLPL,90.6440968293007,21.7320316350704,40.1895434793744
AIBR,67.1648218549084,10.0386990640271,26.6048071336068
AIZR,75.8554643020734,10.4272911539721,29.4412091433472
ASER,72.7811722835755,9.89519896160852,25.0833756410186
ASGL,70.4574618224819,23.1652398334079,24.8743601136244
IL2DR,39.8527594062644,10.5,16.6053164192769
IL2VL,37.3785896444485,15.8106299120361,31.9441301250519
IL2DL,38.7713140647443,16.9248877345647,15.530372635799
RMED,50.4386200259489,14.8674784669564,16.7750869673466
I3,31.550101196626,13.5,17.2280157849997
RIVL,74.9740017104246,20.4903230525647,19.6262551428527
I2R,28.7511648141854,8.1872844709421,28.6607152906305
AVHR,75.1390567972278,12,18.2658480612045
AIZL,80.8734452254615,20.3935182122214,36.9436432783171
AWCR,68.7360480157229,9.64984428782869,31.9773675950041
I1R,15.1523512325901,10.5,25.1155410841562
AWCL,68.1128739725478,19.1656122868839,34.6065993248079
AUAL,73.8420156550573,16.4234245054239,37.2247924330086
URAVR,44.3294604135196,13.2705890198179,30.6653118891635
VB2,107.393624253617,15.0484010658923,45.3646309210893
URADR,43.6385824830183,11.4727007949157,19.5765548230679
URYVL,46.5312438012112,22.0089439944312,28.9573986543819
SIAVR,81.9119809649222,11.8575759690585,44.84863153549
AINR,79.0417802524905,10.2754866008572,18.4129509183101
SIADL,76.0348365037765,14.6099495747178,38.0623178597689
AUAR,75.2262743462116,11.6516305221095,36.2529359554894
RICL,84.0457771678188,20.2960509316017,39.0380325598936
I2L,27.4998699965014,21.1591440095692,26.3103325440549
AVHL,72.8847931006351,24.0053247863581,25.3680575674462
RIH,68.427570421845,14.4838658770043,41.6317880480186
URBR,48.2459441181465,7.65135147867769,24.7009197651185
RIML,86.7604728242241,11.1564995783474,45.9842835994264
SAADL,63.7550489324318,14.4018756850121,35.2606994270108
BAGR,53.5234340146973,7.51511601565163,27.2897993007425
URAVL,47.9565661222731,17.0001993799067,30.9682266748182
AS1,127.238237062709,17.25,48.5705505263848
BAGL,51.6262221475605,22.598276007335,29.3373140691345
URADL,43.6475044057597,19.1922911105488,18.592565519744
ASEL,72.102720753656,21.5689389148375,30.9107883541439
AWAR,70.2280546676117,10.2740943592644,22.4441740134866
AIYL,78.3738721789653,12.9740284053246,39.025188436473
AIYR,74.7856364487574,13.6342656799121,32.347874637062
ASHR,69.8281934141911,9.8023521491916,28.0830949399221
SIBVR,58.7033219630521,15.4070102954176,36.3697178283509
SAAVL,59.6726139975452,22.7599778625969,22.998007607205
SAADR,52.721879631204,15,32.1728005623489
NSMR,31.3719859404826,8.29531662468983,27.3080890014416
RIFR,114.406101514036,12.1743929201673,48.7871172584289
RIBR,71.8928561249522,12.2623004394233,30.6260213604338
ASHL,71.0727427302021,18.2844746272344,33.2790760296167
M5,97.5140286674307,24.577940330349,21.9527833285091
NSML,30.4041490718563,21.0625633149287,25.4294784279546
I6,86.4931368042346,22.7604549516079,22.4665872276378
AINL,77.3565195651729,22.8358418840148,31.3791268542237
MCR,29.2544841879508,10.1334373361116,26.9746713498423
I1L,15.0776608571753,17.2969505423655,23.506887855954
ASKR,66.8130241950069,14.0697888876192,17.0484037877947
RID,58.3819742829529,14.0462017372496,13.7765894346562
AVFR,108.972389001504,14.25,48.3629840711438
RIBL,73.4664267095763,17.9919472956519,32.1962414872404
AVFL,105.028626351926,13.5,46.9100188844571
MCL,28.6441708232526,18.75,25.5306739946382
RIR,64.3456011246978,16.5,31.550101196626
IL2L,45.6628006662003,23.2838829572199,24.1126817371179
AVAR,63.8751392999068,9.75,27.3633425735617
IL1R,43.9641485737662,9,25.5408302212931
M2R,81.9656974896604,12,28.3885049933386
AVL,95.9602803968784,13.5,48.0944076077139
RIGR,118.374366898384,15.75,48.208315927021
RMGL,105.176224782583,20.25,37.6149688469952
