Neuron,x,y,z
AVEL,54.4528846132349,22.689899845162,22.3485486183443
AVDL,68.0209516244388,21.9268903468877,15.2117318216609
AVAL,54.598374261225,22.5,18.6838543099249
AVER,59.2595395211821,12.5777257899008,25.7256851448901
AVAR,56.6743580734388,9.75,23.4586170780168
URXL,54.1831774987822,18.75,14.7394850667185
RIMR,64.9782933222943,18,35.7069215700787
OLQVL,43.2811613136975,23.4401725767857,24.1233321209123
RIML,62.0411677639906,19.6479736270332,32.4382107993785
OLQDR,46.5047236701096,12.5856438835049,15.5054391755172
RIGL,110.425662656251,17.2190368634919,37.8466570756293
RMDVL,51.5494455027033,24.0363161880572,18.2946590740014
URXR,55.6013429797093,14.8641373214552,15.6019877409271
FLPL,96.9484440303881,24,24.4966089841237
RIGR,135.118822922567,16.2813477909775,40.3093903469612
OLQVR,45.8884073766039,12.5774384218315,26.6856562745252
DD1,121.874372283511,17.8187943290837,38.5035296469283
IL1DL,39.2477942337711,19.656244822315,15.5857946517468
OLQDL,47.3727428535415,18.8881509541104,13.1988796743834
M3L,28.3754374409344,21.9736903968468,24.2548409910076
RMDVR,52.4083256553745,10.1319097403925,18.2187730962216
IL1VR,30.2606808561662,20.2919839284032,31.746465731221
CEPVL,33.5214648322985,21.9185842460726,30.3157323944051
SMDDR,56.8682298768452,16.1982288481803,31.5308207532755
IL1DR,40.3017555805819,14.5844707679481,16.4562323979496
CEPDR,55.6173046503087,12.626227284761,13.9294802988466
AVDR,67.8608786434739,8.31283836942504,20.456888151948
CEPDL,53.8460504034218,19.755973681132,12.7361311112642
IL1VL,25.4403037586544,22.8686835501692,31.7651252655368
M3R,28.438400498584,15.2346319299687,24.7928098417095
CEPVR,44.8312682163206,14.550702917474,28.6519740786411
OLLL,36.8120952308688,21.2977603598039,17.3399342933289
DA1,116.646965285999,16.5958466913039,38.4426560587173
RMFL,71.206244758936,21,35.0841264264145
AWBL,60.5224146704226,21.6439707993739,16.0709837641151
DB1,119.091151749727,15.6608069648705,40.7890891297595
AIML,86.8111705063505,15.3591398648859,37.8687603965965
SMBVL,66.6749167846938,20.8958676618819,33.3348841761079
I3,23.4862990718357,17.8263157176854,16.7535453644232
AVJL,68.038853010401,22.0658999908667,17.6158939563992
SMDVL,57.1369098998625,21.0839858570784,13.0473110125914
ADEL,99.7069636000137,23.1786871509688,23.9551961305907
SMBDL,63.8405961812437,20.6557083500712,30.3492877134691
RICL,76.0842895339197,25.4935541285433,23.9233853773602
ASGL,63.3109399360485,20.5416600192752,13.0128385278946
URYVL,39.2059062312674,22.9563236981777,23.6682721074084
AFDL,57.4161170039085,22.111012585599,21.0783829950966
URYVR,41.6836652449517,12.6915161426814,25.8503290024559
SABVL,97.5456217084246,18.8441195387676,38.3697573644035
AQR,92.47490487211,7.51522196644713,31.4145931157046
M1,75.4821867568407,10.1492567057575,16.6664596207202
RMEL,41.484595601014,21.2815784123118,17.6067809300651
RMDL,51.9257396863869,23.7383804376189,21.6692344748289
RIVL,67.1640099515685,17.9662025681499,9.63594335302168
VB3,158.161092289838,17.2835934707298,43.4485958427982
