Neuron,x,y,z
ADAL,104.9537545,23.78966143,36.82736898
ADAR,100.0350922,7.412030676,35.69128515
ADEL,97.76597827,24.48076041,39.93619034
ADER,84.93367878,5.107325,37.37912514
ADFL,65.4553523,22.47223,34.29804276
ADFR,64.8769664,11.236115,28.60408894
ADLL,67.96169117,20.4293,27.34948767
ADLR,70.37163342,14.30051,22.62061094
AFDL,64.5970844,21.51998506,38.03142641
AFDR,63.21629951,10.16064649,30.68184686
AIAL,78.37264139,12.25758,49.25673878
AIAR,74.42033675,13.279045,45.20341498
AIBL,67.70512819,15.95014728,40.16212338
AIBR,68.52839608,11.236115,38.00211055
AIML,99.77292565,15.321975,44.52785998
AIMR,101.3041214,13.24671457,47.86168182
AINL,76.54108502,25.536625,34.97359777
AINR,77.45785375,8.17172,24.50409314
AIYL,106.3228448,16.34344,45.47793558
AIYR,55.8610259,12.25758,42.57067029
AIZL,74.3654644,17.4387528,40.134724
AIZR,76.00422111,8.17172,33.22588901
ALA,58.97595299,16.34344,25.95772579
AMSOL,10.99066308,22.47223,34.00852067
AMSOR,13.26166125,12.22033859,27.35676705
AQR,91.25747839,7.005849726,40.60288261
AS1,143.2866464,18.38637,45.89325919
ASEL,72.17070403,20.6860628,40.03716475
ASER,70.60501415,10.21465,28.03434385
ASGL,69.35904331,22.47223,32.8105654
ASGR,71.43566137,13.279045,25.33474037
ASHL,68.54007706,21.450765,39.12342824
ASHR,67.54310178,9.210823026,31.09282356
ASIL,73.45635819,23.493695,29.95519687
ASIR,75.76990383,14.30051,21.5590251
ASJL,77.50506151,17.364905,42.69421453
ASJR,73.93834747,11.236115,38.64089073
ASKL,64.58777242,20.4293,28.99011978
ASKR,64.58777242,13.279045,25.32282681
AUAL,73.74878933,17.72196547,43.14835066
AUAR,71.24679525,9.22260592,37.54704158
AVAL,61.46789467,21.450765,38.00211055
AVAR,61.46789467,8.17172,33.0182272
AVBL,72.685177,22.47223,34.78058235
AVBR,73.35996158,9.193185,30.53424313
AVDL,73.88735581,21.86487405,38.7353929
AVDR,74.72490964,9.365025925,25.37222219
AVEL,63.54843357,18.27953963,39.59713591
AVER,63.0418874,9.27089255,35.27823288
AVFL,118.1848818,15.321975,45.58944582
AVFR,97.45938208,12.25758,48.48467711
AVG,124.6435273,12.25758,41.82564411
AVHL,73.09695582,24.51516,33.43355082
AVHR,72.89062412,11.99767468,22.94021167
AVJL,75.47313479,23.31350038,37.2908365
AVJR,75.7965593,11.236115,23.25812231
AVKL,105.6998594,14.30051,46.72390642
AVKR,92.40950381,10.21465,47.96987726
AVL,75.38431324,15.321975,43.27326079
AWAL,69.6965193,17.74248371,39.04614764
AWAR,67.69774886,12.25758,27.20369663
